id,name,latitude,longitude,neighborhood,room_type,price,availability_365,number_of_reviews,reviews_per_month,review_scores_rating
2384,Hyde Park - Walk to University of Chicago,41.7879,-87.5878,Hyde Park,Private room,119.0,348,257,1.97,4.99
7126,Tiny Studio Apartment 94 Walk Score,41.90166,-87.68021,West Town,Entire home/apt,89.0,302,595,3.01,4.73
10945,The Biddle House (#1),41.91196,-87.63981,Lincoln Park,Entire home/apt,203.0,325,129,0.93,4.74
12140,Lincoln Park Guest House,41.92357,-87.64947,Lincoln Park,Private room,339.0,156,19,0.15,4.95
28749,Quirky Bucktown Loft w/ Parking No Parties,41.9202265,-87.6796132,Logan Square,Entire home/apt,258.0,74,265,1.47,4.83
71930,"Rest, Relax and Explore",41.89615,-87.67934,West Town,Private room,80.0,343,141,0.81,4.89
94450,Comfy Garden Suite in Andersonville,41.9796,-87.66512,Edgewater,Entire home/apt,117.0,335,39,1.01,4.95
145659,Trendy Roscoe Village 3BR/2BR walk to shops,41.94342,-87.68121,North Center,Entire home/apt,185.0,365,77,0.64,4.78
145690,4BR/2BR Walk to North Ave Beach & Zoo~Close to El,41.91289,-87.63864,Lincoln Park,Entire home/apt,270.0,331,87,0.69,4.78
189821,"Best in Chicago, private, amazing garden space",41.92918,-87.70219,Logan Square,Entire home/apt,220.0,326,712,4.17,4.95
207218,Historic Pullman Artist Flat - Monthly Rental,41.68843,-87.60712,Pullman,Entire home/apt,125.0,283,321,1.88,4.9
207351,Pullman Art Studio - One Person - Monthly Rental,41.68954,-87.60786,Pullman,Entire home/apt,50.0,178,49,0.29,4.92
220333,Pullman School House Apartment - monthly rental,41.68912,-87.60725,Pullman,Entire home/apt,125.0,233,8,0.05,4.88
225314,Cozy & comfy with AC close to California Blue Line,41.92589,-87.69737,Logan Square,Private room,87.0,46,32,0.2,4.94
233933,Lovely Bedroom 3 in a New Renovated Apartment,41.95758,-87.7271,Irving Park,Private room,58.0,59,220,1.3,4.83
250354,Close to Michigan Ave and parks,41.85923,-87.62198,Near South Side,Entire home/apt,170.0,359,35,0.21,4.84
264547,Steps From the Best Chicago Offers,41.88413,-87.64315,Near West Side,Entire home/apt,228.0,176,63,0.39,4.84
345075,"Spacious, Vintage Hyde Park Apt.3",41.80774,-87.59459,Kenwood,Private room,116.0,343,304,1.85,4.97
350347,2bd/2bath Urban Loft w/ 2 pkg spots 1 blk to train,41.94107,-87.65492,Lake View,Entire home/apt,193.0,277,823,4.99,4.88
372929,Lux Urban 3BR/3BA Duplex + Parking!,41.89629,-87.65704,West Town,Entire home/apt,249.0,340,326,2.08,4.85
404792,Eclectic West Town 2BR w/ Vintage Charm,41.88947,-87.66933,West Town,Entire home/apt,126.0,81,227,1.41,4.51
464581,"Large, Private Logan Square Studio",41.92518,-87.69549,Logan Square,Entire home/apt,106.0,327,649,4.07,4.81
507517,Private Lincoln Square Garden Apt,41.96678,-87.6973,Lincoln Square,Entire home/apt,91.0,266,455,2.83,4.92
542067,Logan Square Modern Vintage Garden,41.93142,-87.69989,Logan Square,Entire home/apt,168.0,274,319,1.98,4.88
584590,"Spacious Bedroom, steps to El train",41.96528,-87.6831,Lincoln Square,Private room,55.0,59,57,0.36,4.57
634310,The Stained Glass Apt. Edgewater #1,41.99688,-87.66449,Edgewater,Private room,64.0,288,158,0.99,4.92
640841,Luxury Lakeview Retreat & Rooftop- Walk to Wrigley,41.94256,-87.67171,Lake View,Entire home/apt,264.0,95,112,1.26,4.98
651742,Edgebrook Lg bdr by golf course,41.99178,-87.75747,Forest Glen,Private room,69.0,354,130,0.85,4.94
662034,Edgebrook bdr by golf course,41.99405,-87.75746,Forest Glen,Private room,60.0,356,111,0.76,4.94
681842,Bedrm/Bath - Swanky Northside Condo,41.99373,-87.68279,West Ridge,Private room,53.0,327,33,0.22,4.91
697634,"2 BD Condo by downtown,park,lake",41.90437,-87.6335,Near North Side,Entire home/apt,109.0,206,162,1.09,4.87
726376,"Spacious Studio, Amazing Location!",41.93903,-87.65196,Lake View,Entire home/apt,130.0,86,905,5.75,4.69
729566,Modern 1 Bdrm Condo w Office in High Rise-6mth min,41.86442,-87.62561,Near South Side,Entire home/apt,79.0,92,5,0.03,5.0
732569,Entire 2BR Apt w/ Parking & 3 Beds,41.8559,-87.65336,Lower West Side,Entire home/apt,192.0,47,161,1.02,4.43
739495,Lovely 2 bedroom in Lincoln Square,41.9765,-87.68144,Lincoln Square,Entire home/apt,273.0,243,218,1.47,4.87
755701,3 Bedroom Victorian Beauty at Logan Square,41.93115,-87.71836,Logan Square,Entire home/apt,125.0,242,33,0.22,4.81
863120,Cozy Private Room in a unique Chicago Penthouse,41.92218,-87.66079,Lincoln Park,Private room,73.0,27,174,1.17,4.94
960326,The Penthouse Gallery at OHC - No Cleaning Fee!,41.89602,-87.65659,West Town,Entire home/apt,262.0,328,498,3.32,4.93
966137,"!!BIG PRIVATE HOUSE!!close2bus,Great reviews!!",41.86801,-87.67877,Near West Side,Entire home/apt,120.0,57,41,0.27,4.75
979841,"Huge Victorian near Loyola, Lake #1",42.00588,-87.66853,Rogers Park,Private room,81.0,319,374,2.47,4.98
979926,"Huge Victorian near Loyola, Lake #2",42.00477,-87.66842,Rogers Park,Private room,73.0,306,410,2.72,4.98
979942,"Huge Victorian near Loyola, Lake #3",42.00378,-87.66807,Rogers Park,Private room,73.0,320,367,2.42,4.94
983640,Huge Victorian near Loyola 2bd Apt,42.00456,-87.67058,Rogers Park,Entire home/apt,179.0,322,318,2.12,4.95
1020810,Beautiful Condo in Chicago,41.89395,-87.62593,Near North Side,Entire home/apt,115.0,272,43,0.28,4.67
1083987,MODERN LOFT Downtown by McCormick w/KING BED WiFi,41.85395,-87.62468,Near South Side,Entire home/apt,120.0,140,17,0.11,5.0
1185749,3 Bedroom Vintage Hideaway In Little Italy/uic,41.87033,-87.6826,Near West Side,Entire home/apt,166.0,197,388,2.59,4.87
1195259,Wicker Park - Garden At The Heart of It All,41.90914,-87.67859,West Town,Entire home/apt,118.0,339,225,1.5,4.9
1304049,Private room near UIC Medical Dist.,41.86967,-87.68284,Near West Side,Private room,45.0,274,126,0.86,4.66
1356190,Logan Square Vintage Deluxe Private Suite & Bath,41.91984,-87.68962,Logan Square,Private room,107.0,228,510,3.49,4.97
1392594,"Bright open house, garden & deck",41.96909,-87.67407,Uptown,Entire home/apt,200.0,187,36,0.24,4.63
1461451,02b. Twin bed in Coed Space,42.01653,-87.68788,West Ridge,Shared room,22.0,256,214,1.45,4.64
1502674,The Biddle House (#2),41.91175,-87.63834,Lincoln Park,Entire home/apt,209.0,319,161,1.1,4.84
1502700,The Biddle House,41.91184,-87.63963,Lincoln Park,Entire home/apt,438.0,58,16,0.12,4.4
1554433,Charming Home in Chicago,41.71554,-87.67197,Beverly,Private room,45.0,306,199,1.36,4.85
1573401,Spacious & serene in hip spot. Sleeps 4.,41.85592,-87.66249,Lower West Side,Private room,55.0,66,464,4.96,4.91
1584422,Magic Factory Loft 2West,41.90532,-87.64761,Near North Side,Entire home/apt,480.0,345,59,0.4,4.95
1591370,Cozy Northside Apt near Transp&Beach&Free St Prkng,42.01177,-87.67758,Rogers Park,Entire home/apt,156.0,350,217,1.48,4.83
1614802,"Contemporary, private suite w fireplace",41.93455,-87.66141,Lake View,Entire home/apt,75.0,277,420,3.02,4.91
1663673,iKlektik House Chicago / Cardinal,41.89322,-87.68572,West Town,Entire home/apt,129.0,327,461,3.24,4.91
1759266,Lakeview / Lincoln Park Vintage,41.93396,-87.65897,Lake View,Entire home/apt,147.0,257,100,0.73,4.85
1769731,1 Bedroom Across from Wrigley Field MVP Suite,41.94747,-87.65417,Lake View,Entire home/apt,322.0,93,39,0.76,4.77
1810118,LARGE 1BR/Private Full Bath near U of Chicago,41.77738,-87.60041,Woodlawn,Private room,70.0,132,381,2.7,4.89
1837153,Musician's Quarters,41.79989,-87.59432,Hyde Park,Entire home/apt,63.0,284,60,0.42,4.48
1854000,Elegant Lakefront Near Wrigley Field Lake Michigan,41.93264,-87.64311,Lincoln Park,Entire home/apt,436.0,365,155,1.09,4.58
1869568,"Homey, cozy and comfortable!",41.85638259958464,-87.71415361,North Lawndale,Private room,44.0,357,10,0.5,5.0
1921670,The Avondale Garden Unit,41.94663,-87.70783,Irving Park,Entire home/apt,115.0,342,364,2.82,4.87
1939467,"Rm 1, Quiet&Cozy in Old Irving - NonSmokers, only",41.95998186072804,-87.73006782,Irving Park,Private room,60.0,90,5,0.19,5.0
2011301,Bucktown - Great Northside Location,41.92118,-87.68678,Logan Square,Private room,59.0,239,318,2.22,4.67
2062638,Downtown Urban Oasis 3BR + Huge Deck & Parking!,41.89821,-87.6572,West Town,Entire home/apt,223.0,357,236,1.65,4.79
2103986,Mid-Century Townhouse in Lakeview,41.93338,-87.63913,Lake View,Private room,75.0,92,180,1.3,4.84
2298310,"Hyde Park / Kenwood, UChicago. Free bike.",41.80239,-87.60244,Kenwood,Private room,76.0,295,68,0.49,4.9
2479175,Cozy Garden-Subterranean Apartment,41.96316,-87.69208,Lincoln Square,Entire home/apt,75.0,139,306,2.2,4.79
2499596,Vintage Apartment in the Heart of the Ukrainian Village,41.90006,-87.68096,West Town,Entire home/apt,126.0,224,199,1.42,4.78
2564678,Even Cowgirls Get The Blues Rm.,41.85295,-87.70686,South Lawndale,Private room,45.0,123,6,0.05,3.67
2844042,iKlektik House Chicago / BlueJay,41.89288,-87.68458,West Town,Entire home/apt,146.0,335,212,1.53,4.9
2874486,Gorgeous Penthouse with Stunning Views from Private Rooftop,41.90026,-87.66871,West Town,Entire home/apt,194.0,321,298,2.73,4.9
2907500,The Red Room,41.78225,-87.72806,West Lawn,Private room,38.0,326,402,2.97,4.85
3031898,Art Collector's Pied-a'-terre,41.77206,-87.56982,South Shore,Entire home/apt,85.0,365,246,1.78,4.84
3053081,Relaxed Bucktown/Wicker Park 1B Apt,41.91571,-87.67449,Logan Square,Entire home/apt,106.0,240,556,4.03,4.82
3068787,Lincoln Square Modern 2 Bed 2 Bath,41.96136,-87.6784,North Center,Entire home/apt,149.0,282,219,1.79,4.94
3083343,Remodeled Splendid Flat in Bucktown/Wicker Park,41.91533279418945,-87.67047882,Logan Square,Entire home/apt,177.0,41,161,1.21,4.76
3088192,2nd floor of 1908 brick two-flat in Logan Square,41.93105,-87.71177,Logan Square,Entire home/apt,168.0,116,541,3.95,4.96
3267902,Ravenswood Guest House Annex,41.98908,-87.66697,Edgewater,Entire home/apt,80.0,310,452,3.29,4.93
3292054,The Roscoe House near Wrigley Field,41.94278,-87.65621,Lake View,Entire home/apt,314.0,342,354,2.6,4.95
3308694,"""The Annex II"" Huge 1,600 Sq foot Apartment",41.88711,-87.6438,Near West Side,Entire home/apt,357.0,161,148,1.35,4.89
3329088,East Garfield Park 2 Bedroom,41.88367,-87.70864,East Garfield Park,Entire home/apt,140.0,348,174,1.27,4.91
